subway_id,name,address,lat,lng,waze,business_hours
1,Subway Menara UOA Bangsar,"Jalan Bangsar Utama 1, Unit 1-2-G, Menara UOA Bangsar, Kuala Lumpur, 59000",3.128099,101.678678,https://www.waze.com/en/live-map/directions/my/federal-territory-of-kuala-lumpur/kuala-lumpur/subway-@-menara-uoa-bangsar?place=ChIJPWFRH5RJzDERvHvlO1uTQpY,"Monday - Sunday, 8:00 AM - 8:00 PM"
2,Subway One Utama,"318A One Utama, Lower Ground Floor, New Wing, 1 Utama Shopping Centre, Petaling Jaya, 47800",3.151251,101.615116,https://www.waze.com/en/live-map/directions/my/selangor/pj/1-utama-shopping-centre?place=ChIJL-Qvn9JOzDERBLmeTTrrgf0,0800 - 2200 (Sun - Thur); 0800 - 2230 (Fri & Sat)
3,Subway Jln Pinang,"G9, Wisma UOA II, 19, Jalan Pinang, Kuala Lumpur, 50450",3.152705,101.712034,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-jalan-pinang-kl?place=ChIJIzvym9Q3zDER9MZj809Opn0,"Monday - Saturday, 8:00 AM – 9:00PM; Sunday, 11:30 AM – 6:30PM"
4,Subway UOA Damansara,"Unit 50-G-5, Ground Floor, Wisma UOA Damansara, No. 50, Jalan Dungun, Kuala Lumpur, 50490",3.151729,101.666006,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-wisma-uoa-damansara?place=ChIJa5Vpq1RIzDER8-Wwe3eFNUI,"Monday - Saturday, 8:00 AM – 8:30PM; Sunday, Closed"
5,Subway The Mines,"Lot L1-93, Level 1, Mines Shopping Fair,Jln Dulang, Mines Resort City, Seri Kembangan, 43300",3.027692,101.718905,"https://www.waze.com/en/live-map/directions/subway-the-mines-shopping-mall-jalan-dulang,-l1-93-seri-kembangan?place=w.66650142.666632495.27412970","Monday - Sunday, 10:00 AM - 10:00 PM"
6,Subway Mont Kiara,"E-01-16 ,Block E, Plaza Mont Kiara, 2 Jalan Kiara, Mont Kiara, Kuala Lumpur, 50480",3.165686,101.651956,https://www.waze.com/en/live-map/directions/my/wilayah-persekutuan-kuala-lumpur/kuala-lumpur/subway-@-plaza-montkiara?place=ChIJ62Fw6vFIzDEReI7qDH2RtxQ,"Monday - Sunday, 10:00 AM - 10:00 PM"
7,Subway Amcorp Mall,"(Canopy Area), Lot KG-05, 18 Jln Persiaran, Ground Floor, Barat, Petaling Jaya, 46050",3.104774,101.647341,https://www.waze.com/en/live-map/directions/my/selangor/pj/subway-@-amcorp-mall-pj?place=ChIJgcEy_dpLzDERqz_XQPpVA2U,"Monday - Friday, 9:00 AM – 10:00PM; Saturday & Sunday, 10:00 AM – 10:00PM"
8,Subway Avenue K,"Lot UC-8 & 9, Upper Concourse Level, Avenue K, No. 156, Jalan Ampang, Kuala Lumpur, 50450",3.159477,101.713515,"https://www.waze.com/en/live-map/directions/subway-avenue-k-lot-uc-8-and-9,-upper-concourse-level,-avenue-k-kuala-lumpur?place=w.66650144.666566972.27413004","Monday - Sunday, 8:00 AM - 10:00 PM"
9,Subway Center Point,"Lebuh Bandar Utama, Center Point, Lot G104B Gr Floor, Petaling Jaya, 47800",3.136096,101.607964,"https://www.waze.com/en/live-map/directions/subway-lebuh-bandar-utama-lebuh-bandar-utama,-center-point,-lot-g104b-petaling-jaya?place=w.66584607.665911610.27441776","Monday, 8:00 AM – 10:00PM; Tuesday - Wednesday, 8:00 AM – 10:30PM; Thursday, 8:00 AM – 9:00PM; Friday & Saturday, 8:00 AM – 11:00PM; Sunday, 8:00 AM – 10:30PM"
10,Subway Shell Sunway Mentari,"1, Jalan PJS 8/9 (Shell) Bandar Sunway, 46000 Selangor",3.079525,101.609623,"https://waze.com/ul?ll=3.079525,101.609623","Monday - Sunday, Open 24 Hours"
